2021	0	8
2067	43	1
4728	6	12
4798	0	14
5502	0	15
6545	6	20
6904	0	1
8040	6	16
8525	0	18
8969	0	16
11610	6	15
11644	0	7
12458	0	4
12630	6	6
13424	43	9
14014	19	4
16389	6	2
16590	0	5
16967	6	18
17157	0	3
17750	6	17
18344	0	1
18987	43	10
19460	0	11
22234	0	2
22428	6	3
23010	0	14
24095	0	20
24559	6	14
28421	0	6
28440	19	13
30992	43	10
31423	0	19
32135	6	7
33282	0	10
33902	6	8
34354	0	5
34424	6	11
34718	0	12
35886	43	5
37727	43	7
38481	0	13
38625	43	19
39213	0	9
39696	0	17
45403	0	10
53208	0	15
59433	0	18
61901	6	10
62171	0	10
81299	0	16
93895	0	6
110535	0	4
111223	0	17
116743	0	6
117616	6	6
127074	0	13
128965	43	20
135457	0	1
151849	0	8
154133	0	17
155325	43	18
155854	43	13
157574	0	13
158060	0	5
163588	0	12
167583	6	10
171055	6	13
173180	0	15
174957	0	10
175455	0	10
175925	0	11
179974	0	2
180132	0	3
183793	6	19
184083	0	19
186197	0	14
196182	0	7
196823	43	16
199528	0	20
202331	0	3
204504	0	1
208300	0	11
210816	0	15
214465	43	8
214539	0	9
219490	0	8
226679	6	4
234776	6	14
235276	6	5
246909	0	18
246960	0	16
247094	6	1
247115	0	19
247385	43	11
253842	6	9
256733	0	6
261054	0	16
263090	43	7
265254	0	19
268309	6	3
275690	0	4
277519	0	3
283686	0	14
284614	43	12
293453	43	5
302089	0	8
305600	0	5
306766	0	16
310056	0	13
317328	6	11
319019	0	1
319245	0	15
327965	0	11
330246	43	6
341864	43	4
344188	6	1
347997	0	8
351348	0	10
352377	0	12
354697	6	9
366288	0	2
371716	6	20
377433	0	20
377529	6	13
380447	6	7
381542	0	7
383320	6	18
385047	0	6
385153	0	6
385644	0	10
394960	0	5
396100	0	18
403583	0	9
407994	6	12
409884	43	10
410322	6	18
413630	0	14
415873	6	9
424541	6	19
424740	0	20
427295	0	12
445948	0	1
446100	0	20
447681	19	16
453192	0	7
458051	0	6
459266	0	4
461503	0	13
467915	0	14
473683	0	15
480296	6	14
482912	0	4
490310	0	11
492828	43	14
496875	0	18
496904	0	6
497232	43	12
507558	6	14
507824	0	5
513356	0	2
517029	6	14
519331	19	5
525741	0	5
531807	0	8
536736	0	1
550607	0	12
558847	19	11
564004	0	11
565773	19	6
567098	6	4
569935	19	10
585400	0	9
592429	0	13
593379	0	19
600358	0	10
618751	6	7
622232	6	18
628241	6	13
634609	0	7
645633	0	4
647277	0	1
647765	43	10
650569	0	13
654019	0	14
655186	0	15
656486	6	11
661952	6	9
666524	0	10
672137	0	18
673258	6	16
678133	0	9
685245	0	15
687414	19	5
693575	6	12
693857	0	2
697065	0	7
699956	0	5
703818	0	12
712934	6	11
714083	0	8
718013	6	9
730376	6	10
735536	6	9
744122	0	18
744184	6	14
744356	6	16
748575	0	2
749348	0	11
756521	6	13
759386	6	13
760317	0	13
764066	0	18
775230	0	16
778540	0	8
789664	43	18
789938	0	4
790023	0	1
800797	0	14
802115	6	12
802711	0	9
805909	0	13
807037	0	5
831731	0	10
834535	0	15
837332	6	7
847672	0	11
856609	0	16
865730	0	14
874993	6	5
877634	0	4
879494	0	19
885790	0	7
886951	43	6
887427	0	3
893701	0	8
902593	0	13
930072	0	11
931319	0	3
933043	43	16
935406	0	14
936633	0	7
937908	0	2
951293	0	8
960555	43	17
967594	0	9
972336	0	1
973873	0	13
975199	0	5
980147	0	10
982936	0	2
988344	6	12
995598	0	15
997613	6	18
1010265	6	13
1013535	0	4
1015351	43	17
1024792	6	4
1043300	0	16
1045270	0	4
1059577	0	9
1064225	43	7
1069731	0	8
1070317	0	4
1073155	0	14
1073707	0	14
1088468	6	16
1100326	0	16
1113846	43	5
1120289	0	3
1127836	0	14
1129064	0	5
1129652	6	17
1141261	0	13
1146023	0	14
1147535	43	16
1150657	0	1
1154661	0	10
1164542	0	9
1164595	6	18
1170178	0	7
1171013	43	7
1176716	0	15
1180246	0	8
1188798	19	6
1195503	0	12
